Date,Name,Year,Letterboxd URI,Rating
,Kick-Ass,2010,https://boxd.it/1zaQ,
,The Blues Brothers,1980,https://boxd.it/2adi,
,War Dogs,2016,https://boxd.it/9SlO,
,L.A. Confidential,1997,https://boxd.it/27oC,
,Lost at Sea: The Search for Longitude,1998,https://boxd.it/eb5I,
,Micro Men,2009,https://boxd.it/DCi,
,Blade Runner,1982,https://boxd.it/2bcA,
,The Hunt for Red October,1990,https://boxd.it/
,Shutter Island,2010,https://boxd.it/1U82,
,American Made,2017,https://boxd.it/bb66,
,School of Rock,2003,https://boxd.it/28xK,
,Black Mirror: Common People,2025,https://boxd.it/U1Vy,
,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,
,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,
,Black Mirror: Fifteen Million Merits,2011,https://boxd.it/hQYU,
,Fight Club,1999,https://boxd.it/2a9q,
,Bad Ass,2012,https://boxd.it/3hPA,
,RoboCop,1987,https://boxd.it/22Wu,
,Léon: The Professional,1994,https://boxd.it/2b8S,
,Nineteen Eighty-Four,1984,https://boxd.it/1YZE,
,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,
,Baby Driver,2017,https://boxd.it/bhF2,
,American Manhunt: Osama bin Laden,2025,https://boxd.it/V9Fq,
,Zero Day,2025,https://boxd.it/T9Ga,
,House,1977,https://boxd.it/1vsm,
,Election,1999,https://boxd.it/1YEc,
,Uncharted,2022,https://boxd.it/b5Dy,
,"Relax, I'm from the Future",2022,https://boxd.it/ByDu,
,Wicked,2024,https://boxd.it/e8ME,
,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
,Reservoir Dogs,1992,https://boxd.it/2agc,
,Two Body Problem,2025,https://boxd.it/UbJi,
,The Black Phone,2021,https://boxd.it/sqFE,
,The Electrical Life of Louis Wain,2021,https://boxd.it/mRa2,
,Severance,2022,https://boxd.it/JJym,
,Chernobyl,2019,https://boxd.it/mkbG,
,The Rookie,2002,https://boxd.it/1NGG,
,The Recruit,2023,https://boxd.it/UU16,
